;rv5_ss;rsv_ss;medrv;close_price;rv5;open_price;rv10_ss;nobs;open_to_close;close_time;rk_th2;rk_parzen;rv10;bv_ss;rk_twoscale;rsv;bv;open_time
2013-10-16;3.941202539584996e-05;1.557861827985929e-05;1.0349569337280063e-05;7982.66;3.941202539584996e-05;7946.5;3.313663402455955e-05;24455.0;0.004540109097099787;183205.0;3.0339107283522126e-05;4.069744344006273e-05;3.3136634024559554e-05;3.205228583448363e-05;2.9906410910293003e-05;1.557861827985929e-05;3.205228583448363e-05;100215.0
2013-10-17;4.3481064402324754e-05;1.9136782384821414e-05;1.8690226883417485e-05;8032.4;4.3481064402324754e-05;8004.21;5.169845911153153e-05;24061.0;0.003515709247302823;183158.0;3.566166210826432e-05;4.301960226520802e-05;5.1698459111531526e-05;4.565190190412968e-05;3.605441425756847e-05;1.913678238482141e-05;4.565190190412968e-05;100215.0
2013-10-18;2.245744311623442e-05;1.2627620122030153e-05;1.568813380585104e-05;8084.65;2.245744311623442e-05;8080.23;2.2802571809244932e-05;26987.0;0.0005468645743320621;183142.0;2.7999940058915812e-05;2.129569669071018e-05;2.2802571809244925e-05;2.3095828580541176e-05;2.7168650653182745e-05;1.2627620122030153e-05;2.3095828580541173e-05;100215.0
2013-10-21;1.9917692314163767e-05;1.0302545542684722e-05;1.1720960683625471e-05;8124.08;1.9917692314163767e-05;8111.42;1.6691718690597272e-05;21825.0;0.001559545756638414;183111.0;2.9664868552365676e-05;1.6074374103234125e-05;1.6691718690597276e-05;1.9844292454382775e-05;2.79464788054908e-05;1.0302545542684722e-05;1.9844292454382775e-05;100215.0
2013-10-22;5.214667645397804e-05;1.9357129834203357e-05;1.8478863776905425e-05;8214.76;5.2146676453978036e-05;8128.7;3.886170130445209e-05;24848.0;0.010531527036507171;183201.0;4.5088154311341434e-05;5.727597191069429e-05;3.886170130445209e-05;4.93983128435603e-05;4.516431477007864e-05;1.9357129834203357e-05;4.93983128435603e-05;100215.0
2013-10-23;2.454157780875396e-05;1.219181986676008e-05;8.155835832795909e-06;8214.56;2.454157780875396e-05;8205.58;2.538395526575203e-05;21985.0;0.001093778846620097;183146.0;3.088330336556716e-05;1.9893552803348837e-05;2.5383955265752027e-05;2.241460834859717e-05;2.9428579972226813e-05;1.2191819866760078e-05;2.2414608348597167e-05;100215.0
2013-10-24;2.437898974760327e-05;1.336652880959647e-05;1.0121289024532011e-05;8233.15;2.437898974760327e-05;8230.89;2.7729325040569274e-05;22367.0;0.00027453772150565214;183133.0;3.794797906813724e-05;1.6332645830530045e-05;2.772932504056927e-05;2.1441013952701343e-05;3.726563807346836e-05;1.336652880959647e-05;2.1441013952701343e-05;100215.0
2013-10-25;2.1752614812359675e-05;9.080119833131105e-06;1.3021403755258849e-05;8244.41;2.175261481235967e-05;8215.46;2.0732678192195457e-05;22574.0;0.003517649878393314;183101.0;2.6617965479593317e-05;2.1506498722696794e-05;2.0732678192195454e-05;2.0283982687246848e-05;2.6212320935807243e-05;9.080119833131105e-06;2.0283982687246845e-05;100215.0
2013-10-28;1.7713874175921525e-05;8.445690858282192e-06;6.944312518999323e-06;8291.1;1.7713874175921525e-05;8268.02;1.5996109575898543e-05;22129.0;0.0027875895513229665;173201.0;2.2218724116051703e-05;1.162146012959966e-05;1.5996109575898547e-05;1.7147617349528323e-05;2.15619982122718e-05;8.44569085828219e-06;1.7147617349528323e-05;90215.0
2013-10-29;1.5236187182795603e-05;7.890055500437883e-06;6.942220107503705e-06;8237.03;1.5236187182795603e-05;8261.11;1.5659668018472255e-05;26527.0;-0.0029191190157575875;173151.0;2.579005132526879e-05;1.611139674436795e-05;1.5659668018472255e-05;1.3390368328530282e-05;2.3769814110335625e-05;7.890055500437881e-06;1.3390368328530286e-05;90215.0
2013-10-30;2.8767380783858916e-05;1.559407769354438e-05;8.345590651383262e-06;8228.37;2.8767380783858916e-05;8255.61;2.451141823266468e-05;25280.0;-0.00330503007110039;173123.0;3.0438914020309867e-05;3.448624982432457e-05;2.4511418232664677e-05;2.6496402804966e-05;2.9919863649235484e-05;1.559407769354438e-05;2.6496402804966003e-05;90215.0
2013-10-31;2.183550736967094e-05;8.500726163704244e-06;7.740713608860526e-06;8235.15;2.183550736967094e-05;8217.28;2.2430573173018834e-05;23644.0;0.002172324334747344;173212.0;3.321590337472818e-05;1.721020825678694e-05;2.2430573173018837e-05;1.9727402961559543e-05;3.1634296168229876e-05;8.500726163704244e-06;1.9727402961559543e-05;90215.0
2013-11-01;4.332470914492111e-05;2.671512558186886e-05;1.1326966458889829e-05;8221.8;4.33247091449211e-05;8235.26;5.1427743699965917e-05;21344.0;-0.0016357724892905878;173103.0;4.172994549135683e-05;3.0207485434833265e-05;5.1427743699965917e-05;4.54774034729485e-05;4.319815130461878e-05;2.671512558186886e-05;4.547740347294849e-05;90215.0
2013-11-04;1.896248216823288e-05;1.3969393218159956e-05;7.109617344229988e-06;8185.69;1.8962482168232877e-05;8253.24;2.3478643159365512e-05;25594.0;-0.008218342702352999;173205.0;3.222988707751045e-05;2.098639805451036e-05;2.3478643159365515e-05;1.8838472669803737e-05;3.0262813745224794e-05;1.3969393218159956e-05;1.8838472669803737e-05;90215.0
2013-11-05;2.452560654033281e-05;1.5516639220494833e-05;1.4265548800354893e-05;8149.31;2.452560654033281e-05;8210.87;3.300994238849184e-05;25488.0;-0.007525625089387589;173101.0;3.202386894053735e-05;3.18166887939525e-05;3.3009942388491836e-05;2.5899575317102674e-05;3.124263001108358e-05;1.5516639220494833e-05;2.589957531710267e-05;90215.0
